date,bitcoin,isPartial
2010-01-03,0,False
2010-01-10,0,False
2010-01-17,0,False
2010-01-24,5,False
2010-01-31,0,False
2010-02-07,0,False
2010-02-14,3,False
2010-02-21,5,False
2010-02-28,3,False
2010-03-07,3,False
2010-03-14,0,False
2010-03-21,3,False
2010-03-28,0,False
2010-04-04,5,False
2010-04-11,3,False
2010-04-18,2,False
2010-04-25,0,False
2010-05-02,0,False
2010-05-09,3,False
2010-05-16,3,False
2010-05-23,5,False
2010-05-30,0,False
2010-06-06,0,False
2010-06-13,0,False
2010-06-20,3,False
2010-06-27,8,False
2010-07-04,3,False
2010-07-11,100,False
2010-07-18,34,False
2010-07-25,22,False
2010-08-01,15,False
2010-08-08,10,False
2010-08-15,22,False
2010-08-22,14,False
2010-08-29,5,False
2010-09-05,9,False
2010-09-12,2,False
2010-09-19,23,False
2010-09-26,11,False
2010-10-03,16,False
2010-10-10,13,False
2010-10-17,21,False
2010-10-24,9,False
2010-10-31,23,False
2010-11-07,25,False
2010-11-14,21,False
2010-11-21,11,False
2010-11-28,18,False
2010-12-05,38,False
2010-12-12,78,False
2010-12-19,42,False
2010-12-26,40,False
